measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.lo
0,0.5,python,1639133741163,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2554916,384874,Intel(R) Xeon(R) Processor @ 2.50GHz,63,4801,0,371,568398,306,0,2,115,52961,136,137,1639133741300,180,0,9786,91597
1,0.5,python,1639133742301,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544200,391613,Intel(R) Xeon(R) Processor @ 2.50GHz,63,4903,0,377,568517,306,0,2,115,53261,140,140,1639133742441,180,0,9786,91597
2,0.5,python,1639133743443,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544944,395782,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5007,0,382,568635,306,0,2,115,53549,138,138,1639133743581,180,0,9786,91597
3,0.5,python,1639133744584,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544304,400134,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5113,0,387,568751,306,0,2,116,53823,134,134,1639133744718,180,0,9786,91597
4,0.5,python,1639133745719,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544432,404301,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5219,0,392,568867,306,0,2,116,54089,138,139,1639133745858,180,0,9786,91597
5,0.5,python,1639133746859,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544404,408463,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5325,0,398,568983,306,0,2,116,54361,142,143,1639133747002,180,0,9786,91597
6,0.5,python,1639133748003,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544288,412634,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5429,0,403,569099,306,0,2,118,54675,139,139,1639133748142,180,0,9786,91597
7,0.5,python,1639133749144,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544312,416793,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5535,0,409,569214,306,0,2,119,54962,137,137,1639133749281,180,0,9786,91597
8,0.5,python,1639133750282,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2543456,420968,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5635,0,415,569334,306,0,2,119,55277,139,139,1639133750421,180,0,9786,91597
9,0.5,python,1639133751422,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2543448,425107,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5737,0,420,569455,306,0,2,120,55528,138,138,1639133751560,180,0,9786,91597
