measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.telemetry1_sb,network_rx_bytes.lo,network_rx_bytes.vinternal_1,network_rx_bytes.vtarget_1
0,0.5,python,1639134018821,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2554796,478584,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7054,0,506,456765,295,0,2,192,57965,202,202,1639134019023,176,128894,14608,0
1,0.5,python,1639134020026,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2542860,485963,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7144,0,515,456875,295,0,2,245,58215,311,311,1639134020337,176,128894,14608,0
2,0.5,python,1639134021338,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2542008,490120,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7225,0,523,456997,295,0,2,295,58438,231,231,1639134021569,176,128894,14608,0
3,0.5,python,1639134022571,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2542132,494265,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7320,0,530,457107,295,0,2,329,58645,196,196,1639134022767,176,128894,14608,0
4,0.5,python,1639134023768,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2542124,498421,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7411,0,536,457227,295,0,2,395,58878,377,377,1639134024145,176,128894,14608,0
5,0.5,python,1639134025152,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2541544,502742,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7510,0,544,457350,295,0,3,455,59129,413,413,1639134025565,176,128894,14608,0
6,0.5,python,1639134026567,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2541472,506871,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7597,0,550,457463,295,0,3,489,59349,175,176,1639134026743,176,128894,14608,0
7,0.5,python,1639134027748,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2541492,511038,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7698,0,559,457576,295,0,3,509,59629,195,195,1639134027943,176,128894,14608,0
8,0.5,python,1639134028945,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2540652,515210,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7795,0,566,457695,295,0,3,536,59839,199,200,1639134029145,176,128894,14608,0
9,0.5,python,1639134030146,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2541412,519347,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7898,0,572,457810,295,0,3,560,60077,204,204,1639134030350,176,128894,14608,0
10,0.5,python,1639134031352,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2541428,523498,Intel(R) Xeon(R) Processor @ 2.50GHz,63,7993,0,578,457926,295,0,3,585,60293,180,180,1639134031532,176,128894,14608,0
11,0.5,python,1639134032534,98a21347-ec2f-4e92-a912-1b1e0b5f2b0d,0,1639131694,AWS Lambda,2021/12/10/[$LATEST]46abecb999cc4c2390f9a092b1a07788,root_lambda,1769,us-east-1,,Linux 169.254.80.37 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2541268,527637,Intel(R) Xeon(R) Processor @ 2.50GHz,63,8086,0,585,458035,295,0,3,609,60488,134,134,1639134032668,176,128894,14608,0
