measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.lo,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.telemetry1_sb
0,0.5,python,1638818027273,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,1,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2684044,134086,Intel(R) Xeon(R) Processor @ 2.50GHz,63,130,0,122,282614,30,0,1,27,29302,81,81,1638818027354,30568,0,306,90
1,0.5,python,1638818028355,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2591752,155636,Intel(R) Xeon(R) Processor @ 2.50GHz,63,176,0,135,282760,34,0,1,28,30432,39,39,1638818028394,30568,0,1086,90
2,0.5,python,1638818029395,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2590076,159665,Intel(R) Xeon(R) Processor @ 2.50GHz,63,176,0,139,282962,34,0,1,28,30724,41,41,1638818029436,30568,0,3208,90
3,0.5,python,1638818030437,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2587596,164172,Intel(R) Xeon(R) Processor @ 2.50GHz,63,178,0,145,283162,34,0,1,28,31102,36,37,1638818030474,30568,0,446596,90
4,0.5,python,1638818031475,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2517372,186153,Intel(R) Xeon(R) Processor @ 2.50GHz,63,241,0,157,283298,35,0,2,28,31804,78,78,1638818031553,30568,0,1811181,90
5,0.5,python,1638818032555,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2484328,196924,Intel(R) Xeon(R) Processor @ 2.50GHz,63,336,0,167,283410,35,0,2,29,32171,95,95,1638818032650,30568,0,1811181,90
6,0.5,python,1638818033651,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2436968,212278,Intel(R) Xeon(R) Processor @ 2.50GHz,63,433,0,175,283524,35,0,2,29,32515,85,85,1638818033736,30568,0,1811223,90
7,0.5,python,1638818034737,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2423928,219473,Intel(R) Xeon(R) Processor @ 2.50GHz,63,528,0,180,283640,35,0,2,29,32704,79,80,1638818034817,30568,0,1811223,90
8,0.5,python,1638818035818,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2424012,223417,Intel(R) Xeon(R) Processor @ 2.50GHz,63,618,0,183,283762,35,0,2,29,32910,79,79,1638818035897,30568,0,1811223,90
9,0.5,python,1638818036898,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2415480,229459,Intel(R) Xeon(R) Processor @ 2.50GHz,63,717,0,186,283876,35,0,2,29,33113,95,95,1638818036993,30568,0,1811223,90
10,0.5,python,1638818037995,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2414240,233530,Intel(R) Xeon(R) Processor @ 2.50GHz,63,776,0,189,284023,35,0,2,31,33370,35,35,1638818038030,30568,0,2150537,90
11,0.5,python,1638818039031,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404660,240092,Intel(R) Xeon(R) Processor @ 2.50GHz,63,814,0,193,284195,35,0,2,31,33829,101,101,1638818039132,30568,0,12823059,90
