measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.vinternal_1,network_rx_bytes.lo,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1
0,0.5,python,1639134859381,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2467212,419050,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2070,0,399,1027589,102,0,9,81,63289,140,140,1639134859522,119552487,93691,176,0
1,0.5,python,1639134860523,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2464844,424964,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2073,0,406,1027796,102,0,9,81,64000,85,85,1639134860608,119554883,93691,176,0
2,0.5,python,1639134861610,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2462640,430948,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2076,0,413,1028003,102,0,9,81,64751,84,84,1639134861694,121235643,93691,176,0
3,0.5,python,1639134862695,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2355944,463444,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2166,0,429,1028128,102,0,9,82,65281,193,193,1639134862888,121358786,93691,176,0
4,0.5,python,1639134863890,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354788,468943,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2188,0,435,1028318,102,0,9,82,66003,80,80,1639134863970,122839808,93691,176,0
5,0.5,python,1639134864972,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2356576,474493,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2202,0,442,1028525,102,0,10,82,66722,182,182,1639134865154,132364592,93691,176,0
6,0.5,python,1639134866155,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2356056,480069,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2315,0,449,1028647,102,0,10,82,67335,214,214,1639134866369,132364592,93691,176,0
7,0.5,python,1639134867370,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2355132,485558,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2317,0,457,1028857,102,0,10,82,68075,86,86,1639134867456,134477493,93691,176,0
8,0.5,python,1639134868458,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354196,491056,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2317,0,466,1029064,102,0,10,82,68852,80,81,1639134868539,142478700,93691,176,0
9,0.5,python,1639134869540,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354932,496550,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2421,0,472,1029183,102,0,11,82,69452,188,188,1639134869728,143256639,93691,176,0
10,0.5,python,1639134870730,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2353796,502021,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2439,0,479,1029377,102,0,11,82,70165,79,79,1639134870809,145350025,93691,176,0
11,0.5,python,1639134871810,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354908,507511,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2458,0,486,1029584,102,0,11,82,70810,180,180,1639134871990,154280835,93691,176,0
12,0.5,python,1639134872992,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2355048,513030,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2563,0,492,1029697,102,0,11,83,71369,126,126,1639134873118,154280835,93691,176,0
13,0.5,python,1639134874120,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354136,518528,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2564,0,498,1029904,102,0,12,83,72139,83,84,1639134874204,160580430,93691,176,0
14,0.5,python,1639134875205,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354864,524027,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2635,0,504,1030056,102,0,12,83,72750,184,184,1639134875389,165305757,93795,176,0
15,0.5,python,1639134876390,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2353920,529469,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2692,0,511,1030211,102,0,12,83,73304,79,79,1639134876469,165305889,93795,176,0
16,0.5,python,1639134877470,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354756,534967,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2695,0,518,1030416,102,0,12,83,74258,79,79,1639134877549,175620252,93795,176,0
17,0.5,python,1639134878550,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2355036,540451,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2795,0,525,1030544,102,0,12,83,74823,199,199,1639134878749,176116185,93795,176,0
18,0.5,python,1639134879750,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354168,545950,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2819,0,533,1030733,102,0,12,83,75482,85,85,1639134879835,176803027,93795,176,0
19,0.5,python,1639134880836,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354396,551443,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2823,0,541,1030941,102,0,13,83,76177,132,133,1639134880969,187101079,93795,176,0
